_;kapitola;_;financni_misto;_;zdroj;_;pvs;paragraf;akce;_;rozpoctova_polozka;castka
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5137;Drobný hmotný dlouhodobý majetek;8 500 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5139;Nákup materiálu jinde nezařazený;44 271 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5151;Studená voda;1 100 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5153;Plyn;5 510 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5154;Elektrická energie;17 510 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5156;Pohonné hmoty a maziva;8 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5161;Služby pošt;600 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5162;Služby telekomunikací a radiokomunikací;29 340 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5163;Služby peněžních ústavů;5 150 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5164;Nájemné;72 800 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5166;Konzultační, poradenské a právní služby;1 700 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5167;Služby školení a vzdělávání;1 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5168;Služby zpracování dat;500 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5169;Nákup ostatních služeb;185 600 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5171;Opravy a udržování;35 840 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5172;Programové vybavení;200 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5173;Cestovné (tuzemské i zahraniční);39 136 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5175;Pohoštění;4 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5176;Účastnické poplatky na konference;100 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5192;Poskytnuté neinvestiční příspěvky a náhrady (část);11 875 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5194;Věcné dary;700 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5195;Odvody za neplnění povinnosti zaměstnávat zdravotně postižen;50 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5196;Náhrady a příspěvky související s výkonem ústavní funkce a f;135 090 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5342;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;1 567 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5362;Platby daní a poplatků státnímu rozpočtu;1 600 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5424;Náhrady mezd v době nemoci;800 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5511;Neinvestiční transfery mezinárodním organizacím;1 500 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;Výsledek;;1 105 936 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;Výsledek;;;;;1 125 936 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;Výsledek;;;;;;;;1 125 936 000
302;Poslanecká sněmovna Parlamentu;Výsledek;;;;;;;;;;1 125 936 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;003V012005001;Digitální kamerový systém CCTV;6121;Budovy, haly a stavby;500 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;003V012005001;Digitální kamerový systém CCTV;Výsledek;;500 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002001;Servery;6125;Výpočetní technika;3 500 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002001;Servery;Výsledek;;3 500 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002002;Disková pole a clusterové sestavy;6125;Výpočetní technika;1 700 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002002;Disková pole a clusterové sestavy;Výsledek;;1 700 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002004;Počítačové sitě;6125;Výpočetní technika;2 000 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002004;Počítačové sitě;Výsledek;;2 000 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002005;Barevné laserové tiskárny;6125;Výpočetní technika;140 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V011002005;Barevné laserové tiskárny;Výsledek;;140 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01100B004;Programové vybavení;6111;Programové vybavení;700 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01100B004;Programové vybavení;Výsledek;;700 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V012001010;Vybavení prostor Kanceláře Senátu;6122;Stroje, přístroje a zařízení;100 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V012001010;Vybavení prostor Kanceláře Senátu;Výsledek;;100 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01200B001;Technické a technologické vybavení areálu Senátu;6121;Budovy, haly a stavby;1 100 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01200B001;Technické a technologické vybavení areálu Senátu;Výsledek;;1 100 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01200B002;Dopravní prostředky Senátu;6123;Dopravní prostředky;4 350 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01200B002;Dopravní prostředky Senátu;Výsledek;;4 350 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01200B003;Obnova a pořízení strojů a zařízení;6122;Stroje, přístroje a zařízení;650 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;103V01200B003;Obnova a pořízení strojů a zařízení;Výsledek;;650 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5011;Platy zaměstnanců v pracovním poměru;86 699 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5021;Ostatní osobní výdaje;1 500 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5022;Platy představitelů státní moci a některých orgánů;70 800 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5026;Odchodné;9 800 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5031;Povinné pojistné na sociální zabezpečení a příspěvek na stát;39 749 950
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5032;Povinné pojistné na veřejné zdravotní pojištění;14 310 050
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5132;Ochranné pomůcky;20 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5133;Léky a zdravotnický materiál;10 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5134;Prádlo, oděv a obuv;50 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5136;Knihy, učební pomůcky a tisk;560 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5137;Drobný hmotný dlouhodobý majetek;5 672 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5139;Nákup materiálu jinde nezařazený;3 872 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5142;Kursové rozdíly ve výdajích;400 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5151;Studená voda;865 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5153;Plyn;600 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5154;Elektrická energie;14 200 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5156;Pohonné hmoty a maziva;3 450 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5161;Služby pošt;200 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5162;Služby telekomunikací a radiokomunikací;3 500 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5163;Služby peněžních ústavů;650 000
303;Senát Parlamentu;3030001;Senát Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5164;Nájemné;26 657 000
