kapitola;financni_misto;akce;rozpoctova_polozka;castka
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Knihy, učební pomůcky a tisk;560000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;5672000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Nákup materiálu jinde nezařazený;3872000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Kursové rozdíly ve výdajích;400000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Studená voda;865000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Plyn;600000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Elektrická energie;1.42E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Pohonné hmoty a maziva;3450000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Služby pošt;200000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Služby telekomunikací a radiokomunikací;3500000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Služby peněžních ústavů;650000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Nájemné;2.6657E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Konzultační, poradenské a právní služby;760000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Služby školení a vzdělávání;600000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Nákup ostatních služeb;8.705901E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Opravy a udržování;3.956E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Programové vybavení;300000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Cestovné (tuzemské i zahraniční);1.51E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Pohoštění;1796000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Účastnické poplatky na konference;15000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Ostatní nákupy jinde nezařazené;117000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Poskytované zálohy vlastní pokladně;1000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Zaplacené sankce;90000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);6310000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Věcné dary;831000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Náhrady a příspěvky související s výkonem ústavní funkce a f;6.7619E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;866990.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Platby daní a poplatků státnímu rozpočtu;65000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Platby daní a poplatků krajům, obcím a státním fondům;1800000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Náhrady mezd v době nemoci;280000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Neinvestiční transfery mezinárodním organizacím;1100000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Ostatní neinvestiční výdaje jinde nezařazené;100000.0
Úřad vlády České republiky;Úřad vlády České republiky;Prostředky k zajištění akcí v rámci programu 104 01 v letech;Ostatní kapitálové výdaje jinde nezařazené;1000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Pořízení výpočetní techniky;Výpočetní technika;3200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Obnova a rozvoj informačních systémů;Programové vybavení;3830000.0
Úřad vlády České republiky;Úřad vlády České republiky;Obnova a rozvoj informačních systémů;Ostatní nákup dlouhodobého nehmotného majetku;200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Bezpečnostní a informační zařízení v objektech ÚV od r. 2011;Programové vybavení;350000.0
Úřad vlády České republiky;Úřad vlády České republiky;Bezpečnostní a informační zařízení v objektech ÚV od r. 2011;Stroje, přístroje a zařízení;855000.0
Úřad vlády České republiky;Úřad vlády České republiky;Krátkodobé akce výstavby, pořízení nového majetku a technick;Budovy, haly a stavby;2000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Krátkodobé akce výstavby, pořízení nového majetku a technick;Stroje, přístroje a zařízení;2000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Pořízení a obnova kancelářské techniky, strojů a přístrojů;Stroje, přístroje a zařízení;3511000.0
Úřad vlády České republiky;Úřad vlády České republiky;Obnova autoparku;Dopravní prostředky;2000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;2.02340025E8
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ostatní osobní výdaje;2.6011E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Platy představitelů státní moci a některých orgánů;6706000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Odstupné;2000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Odchodné;1500000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ostatní platby za provedenou práci jinde nezařazené;100000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;5.9664257E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;2.1479132E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Mzdové náhrady;200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Potraviny;2600000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ochranné pomůcky;200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Léky a zdravotnický materiál;60000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Prádlo, oděv a obuv;300000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Knihy, učební pomůcky a tisk;2100000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;5940000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup materiálu jinde nezařazený;9996000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Kursové rozdíly ve výdajích;200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Studená voda;1192000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Teplo;1692000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Plyn;3800000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Elektrická energie;1.62E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Pohonné hmoty a maziva;2750000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby pošt;555000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby telekomunikací a radiokomunikací;6806000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby peněžních ústavů;1112000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nájemné;2988000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Konzultační, poradenské a právní služby;1.127E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby školení a vzdělávání;1654000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;6.3371421E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Opravy a udržování;3.8843E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Programové vybavení;210000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Cestovné (tuzemské i zahraniční);8150000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Pohoštění;5470000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Účastnické poplatky na konference;100000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);300000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Věcné dary;750000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Náhrady a příspěvky související s výkonem ústavní funkce a f;1755000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;2023400.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Platby daní a poplatků státnímu rozpočtu;60000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Náhrady mezd v době nemoci;1030000.0
Úřad vlády České republiky;Úřad vlády České republiky;Webová aplikace pro příjem a administraci projektů a žádostí;Programové vybavení;160000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;40000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nájemné;5000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby školení a vzdělávání;58000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;3988000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Programové vybavení;30000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery obecně prospěšným společnostem;1.7326E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery občanským sdružením;5.4973E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery církvím a náboženským společnostem;4332000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Konzultační, poradenské a právní služby;790000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby školení a vzdělávání;200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;410000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery občanským sdružením;2.09E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery obcím;950000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nájemné;20000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Konzultační, poradenské a právní služby;650000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;790000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Pohoštění;90000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery obecně prospěšným společnostem;2000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery občanským sdružením;9000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery církvím a náboženským společnostem;2300000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery obcím;8000000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Neinvestiční transfery krajům;5165000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;1.0319E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ostatní osobní výdaje;346000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Ostatní platby za provedenou práci jinde nezařazené;994000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;2914750.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;1049310.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;250000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup materiálu jinde nezařazený;100000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby telekomunikací a radiokomunikací;50000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nájemné;260000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Konzultační, poradenské a právní služby;300000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Služby školení a vzdělávání;200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Nákup ostatních služeb;2.029475E7
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Programové vybavení;100000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Cestovné (tuzemské i zahraniční);1200000.0
Úřad vlády České republiky;Úřad vlády České republiky;Nepřiřazeno;Pohoštění;50000.0
